time x y azimuth
0.00 1.50 -0.07 357.14
0.10 2.99 -0.22 354.27
0.20 4.47 -0.45 351.41
0.30 5.94 -0.75 348.54
0.40 7.40 -1.12 345.68
0.50 8.83 -1.56 342.81
0.60 10.24 -2.08 339.95
0.70 11.62 -2.66 337.08
0.80 12.97 -3.31 334.22
0.90 14.29 -4.03 331.35
1.00 15.57 -4.82 328.49
1.10 16.80 -5.66 325.62
1.20 18.00 -6.57 322.76
1.30 19.15 -7.54 319.89
1.40 20.24 -8.56 317.03
1.50 21.29 -9.63 314.16
1.60 22.28 -10.76 311.30
1.70 23.21 -11.94 308.43
1.80 24.08 -13.16 305.57
1.90 24.89 -14.42 302.70
2.00 25.64 -15.72 299.84
2.10 26.32 -17.06 296.97
2.20 26.93 -18.43 294.11
2.30 27.48 -19.82 291.25
2.40 27.95 -21.25 288.38
2.50 28.35 -22.69 285.52
2.60 28.68 -24.16 282.65
2.70 28.93 -25.63 279.79
2.80 29.12 -27.12 276.92
2.90 29.22 -28.62 274.06
3.00 29.27 -30.12 271.72
3.10 29.31 -31.62 271.72
3.20 29.36 -33.12 271.72
3.30 29.40 -34.62 271.72
3.40 29.45 -36.12 271.72
3.50 29.49 -37.62 271.72
3.60 29.54 -39.12 271.72
3.70 29.58 -40.61 271.72
3.80 29.63 -42.11 271.72
3.90 29.67 -43.61 271.72
4.00 29.72 -45.11 271.72
4.10 29.76 -46.61 271.72
4.20 29.81 -48.11 271.72
4.40 29.75 -51.15 277.37
4.50 29.91 -52.64 274.50
4.60 29.99 -54.14 271.64
4.70 29.99 -55.64 268.77
4.80 29.92 -57.14 265.91
4.90 29.78 -58.63 263.04
5.00 29.56 -60.12 260.18
5.10 29.27 -61.59 257.32
5.20 28.90 -63.04 254.45
5.30 28.46 -64.48 251.59
5.40 27.95 -65.89 248.72
5.50 27.38 -67.27 245.86
5.60 26.73 -68.62 242.99
5.70 26.01 -69.94 240.13
5.80 25.23 -71.22 237.26
5.90 24.39 -72.46 234.40
6.00 23.49 -73.66 231.53
6.10 22.53 -74.81 228.67
6.20 21.51 -75.91 225.80
6.30 20.44 -76.96 222.94
6.40 19.31 -77.96 220.07
6.50 18.14 -78.89 217.21
6.60 16.92 -79.77 214.34
6.70 15.67 -80.59 211.48
6.80 14.37 -81.34 208.61
6.90 13.03 -82.02 205.75
7.00 11.67 -82.64 202.88
7.10 10.27 -83.19 200.02
7.20 8.85 -83.67 197.15
7.30 7.40 -84.07 194.29
7.40 5.94 -84.41 191.43
7.50 4.47 -84.67 188.56
7.60 2.98 -84.85 185.70
7.70 1.48 -84.96 182.83
7.80 -0.02 -85.00 179.97
7.90 -1.52 -84.96 177.10
8.00 -3.01 -84.85 174.24
8.10 -4.50 -84.66 171.37
8.20 -5.98 -84.40 168.51
8.30 -7.44 -84.06 165.64
8.40 -8.88 -83.65 162.78
8.50 -10.30 -83.18 159.91
8.60 -11.70 -82.62 157.05
8.70 -13.06 -82.01 154.18
8.80 -14.40 -81.32 151.32
8.90 -15.70 -80.57 148.45
9.00 -16.95 -79.75 145.59
9.10 -18.17 -78.87 142.72
9.20 -19.34 -77.93 139.86
9.30 -20.46 -76.94 136.99
9.40 -21.53 -75.89 134.13
9.50 -22.55 -74.79 131.26
9.60 -23.51 -73.63 128.40
9.70 -24.41 -72.44 125.54
9.80 -25.25 -71.19 122.67
9.90 -26.03 -69.91 119.81
10.00 -26.74 -68.59 116.94
10.10 -27.39 -67.24 114.08
10.20 -27.97 -65.85 111.21
10.30 -28.48 -64.44 108.35
10.40 -28.91 -63.01 105.48
10.50 -29.28 -61.55 102.62
10.60 -29.57 -60.08 99.75
10.70 -29.78 -58.60 96.89
10.80 -29.93 -57.10 94.02
10.90 -29.99 -55.61 91.16
11.00 -29.99 -54.11 88.29
11.10 -29.90 -52.61 85.43
11.20 -29.75 -51.12 82.56
11.30 -29.52 -49.64 79.70
11.40 -29.21 -48.17 76.83
11.50 -28.83 -46.72 73.97
11.60 -28.38 -45.28 71.10
11.70 -27.86 -43.88 68.24
11.80 -27.27 -42.50 65.37
11.90 -26.61 -41.15 62.51
12.00 -25.89 -39.84 59.64
12.10 -25.10 -38.56 56.78
12.20 -24.24 -37.33 53.92
12.30 -23.33 -36.14 51.05
12.40 -22.36 -35.00 48.19
12.50 -21.33 -33.91 45.32
12.60 -20.25 -32.87 42.46
12.70 -19.12 -31.88 39.59
12.80 -17.94 -30.96 36.73
12.90 -16.72 -30.09 33.86
13.00 -15.45 -29.28 31.00
13.10 -14.15 -28.54 28.13
13.20 -12.81 -27.87 25.27
13.30 -11.43 -27.26 22.40
13.40 -10.03 -26.73 19.54
13.50 -8.61 -26.26 16.67
13.60 -7.16 -25.87 13.81
13.70 -5.70 -25.55 10.94
13.80 -4.22 -25.30 8.08
13.90 -2.73 -25.12 5.21
14.00 -1.23 -25.03 2.35
14.10 0.27 -25.00 -0.52
14.20 1.77 -25.05 -3.38
14.30 3.26 -25.18 -6.25
14.40 4.75 -25.38 -9.11
14.50 6.22 -25.65 -11.97
14.60 7.68 -26.00 -14.84
14.70 9.12 -26.42 -17.70
14.80 10.54 -26.91 -20.57
14.90 11.93 -27.47 -23.43
15.00 13.29 -28.11 -26.30
15.10 14.62 -28.80 -29.16
15.20 15.91 -29.57 -32.03
15.30 17.16 -30.39 -34.89
15.40 18.37 -31.28 -37.76
15.50 19.53 -32.23 -40.62
15.60 20.65 -33.23 -43.49
15.70 21.71 -34.29 -46.35
15.80 22.72 -35.40 -49.22
15.90 23.67 -36.56 -52.08
16.00 24.56 -37.77 -54.95
16.10 25.39 -39.02 -57.81
16.20 26.16 -40.31 -60.68
16.30 26.86 -41.63 -63.54
16.40 27.49 -42.99 -66.41
16.50 28.06 -44.38 -69.27
16.60 28.55 -45.80 -72.14
16.70 28.98 -47.24 -75.00
16.80 29.33 -48.69 -77.87
16.90 29.61 -50.17 -80.73
17.00 29.81 -51.65 -83.59
17.10 29.94 -53.15 -86.46
17.20 30.00 -54.65 -89.32
17.30 29.98 -56.15 -92.19
17.40 29.88 -57.64 -95.05
17.50 29.71 -59.13 -97.92
17.60 29.47 -60.61 -100.78
17.70 29.15 -62.08 -103.65
17.80 28.76 -63.53 -106.51
17.90 28.30 -64.95 -109.38
18.00 27.77 -66.36 -112.24
18.10 27.17 -67.73 -115.11
18.20 26.50 -69.07 -117.97
18.30 25.76 -70.38 -120.84
18.40 24.96 -71.65 -123.70
18.50 24.10 -72.87 -126.57
18.60 23.17 -74.05 -129.43
18.70 22.19 -75.19 -132.30
18.80 21.15 -76.27 -135.16
18.90 20.06 -77.30 -138.03
19.00 18.92 -78.28 -140.89
19.10 17.74 -79.19 -143.76
19.20 16.51 -80.05 -146.62
19.30 15.23 -80.84 -149.48
19.40 13.92 -81.57 -152.35
19.50 12.58 -82.24 -155.21
19.60 11.20 -82.83 -158.08
19.70 9.79 -83.36 -160.94
19.80 8.37 -83.81 -163.81
19.90 6.92 -84.19 -166.67
20.00 5.45 -84.50 -169.54
20.10 3.97 -84.74 -172.40
20.20 2.47 -84.90 -175.27
20.30 0.98 -84.98 -178.13
20.40 -0.52 -85.00 -181.00
20.50 -2.02 -84.93 -183.86
20.60 -3.51 -84.79 -186.73
20.70 -5.00 -84.58 -189.59
20.80 -6.47 -84.29 -192.46
20.90 -7.93 -83.93 -195.32
21.00 -9.36 -83.50 -198.19
21.10 -10.78 -83.00 -201.05
21.20 -12.16 -82.42 -203.92
21.30 -13.52 -81.78 -206.78
21.40 -14.84 -81.07 -209.65
21.50 -16.12 -80.30 -212.51
21.60 -17.37 -79.46 -215.37
21.70 -18.57 -78.56 -218.24
21.80 -19.72 -77.61 -221.10
21.90 -20.83 -76.59 -223.97
22.00 -21.88 -75.52 -226.83
22.10 -22.88 -74.40 -229.70
22.20 -23.82 -73.24 -232.56
22.30 -24.70 -72.02 -235.43
22.40 -25.52 -70.77 -238.29
22.50 -26.28 -69.47 -241.16
22.60 -26.97 -68.14 -244.02
22.70 -27.59 -66.78 -246.89
22.80 -28.15 -65.38 -249.75
22.90 -28.63 -63.96 -252.62
23.00 -29.04 -62.52 -255.48
23.10 -29.38 -61.06 -258.35
23.20 -29.65 -59.58 -261.21
23.30 -29.84 -58.10 -264.08
23.40 -29.96 -56.60 -266.94
23.50 -30.00 -55.10 -269.81
23.60 -29.97 -53.60 -272.67
23.70 -29.86 -52.11 -275.54
23.80 -29.68 -50.62 -278.40
23.90 -29.42 -49.14 -281.27
24.00 -29.09 -47.68 -284.13
24.10 -28.69 -46.23 -286.99
24.20 -28.22 -44.81 -289.86
24.30 -27.67 -43.41 -292.72
24.40 -27.06 -42.04 -295.59
24.50 -26.38 -40.71 -298.45
24.60 -25.63 -39.41 -301.32
24.70 -24.82 -38.14 -304.18
24.80 -23.94 -36.93 -307.05
24.90 -23.01 -35.75 -309.91
25.00 -22.02 -34.63 -312.78
25.10 -20.97 -33.55 -315.64
25.20 -19.88 -32.53 -318.51
25.30 -18.73 -31.56 -321.37
25.40 -17.53 -30.66 -324.24
25.50 -16.29 -29.81 -327.10
25.60 -15.02 -29.03 -329.97
25.70 -13.70 -28.31 -332.83
25.80 -12.35 -27.66 -335.70
25.90 -10.97 -27.08 -338.56
26.00 -9.56 -26.56 -341.43
26.10 -8.12 -26.12 -344.29
26.20 -6.67 -25.75 -347.16
26.30 -5.20 -25.45 -350.02
26.40 -3.72 -25.23 -352.88
26.50 -2.22 -25.08 -355.75
26.60 -0.73 -25.01 -358.61
26.70 0.77 -25.01 -1.48
26.80 2.27 -25.09 -4.34
26.90 3.76 -25.24 -7.21
27.00 5.25 -25.46 -10.07
27.10 6.72 -25.76 -12.94
27.20 8.17 -26.13 -15.80
27.30 9.60 -26.58 -18.67
27.40 11.01 -27.09 -21.53
27.50 12.39 -27.68 -24.40
27.60 13.74 -28.33 -27.26
27.70 15.06 -29.05 -30.13
27.80 16.34 -29.84 -32.99
27.90 17.57 -30.69 -35.86
28.00 18.77 -31.59 -38.72
28.10 19.91 -32.56 -41.59
28.20 21.01 -33.58 -44.45
28.30 22.05 -34.66 -47.32
28.40 23.04 -35.79 -50.18
28.50 23.97 -36.96 -53.05
28.60 24.84 -38.19 -55.91
28.70 25.65 -39.45 -58.77
28.80 26.40 -40.75 -61.64
28.90 27.08 -42.09 -64.50
29.00 27.69 -43.46 -67.37
29.10 28.23 -44.85 -70.23
29.20 28.70 -46.28 -73.10
29.30 29.10 -47.72 -75.96
29.40 29.43 -49.19 -78.83
29.50 29.69 -50.67 -81.69
29.60 29.86 -52.15 -84.56
29.70 29.97 -53.65 -87.42
29.80 30.00 -55.15 -90.29
29.90 29.95 -56.65 -93.15
30.00 29.83 -58.14 -96.02
30.10 29.64 -59.63 -98.88
30.20 29.37 -61.11 -101.75
30.30 29.03 -62.57 -104.61
30.40 28.62 -64.01 -107.48
30.50 28.13 -65.43 -110.34
30.60 27.57 -66.82 -113.21
30.70 26.95 -68.18 -116.07
30.80 26.25 -69.51 -118.94
30.90 25.50 -70.81 -121.80
31.00 24.67 -72.06 -124.67
31.10 23.79 -73.28 -127.53
31.20 22.85 -74.44 -130.39
31.30 21.85 -75.56 -133.26
31.40 20.79 -76.63 -136.12
31.50 19.69 -77.64 -138.99
31.60 18.53 -78.59 -141.85
31.70 17.33 -79.49 -144.72
31.80 16.08 -80.33 -147.58
31.90 14.80 -81.10 -150.45
32.00 13.47 -81.80 -153.31
32.10 12.12 -82.44 -156.18
32.20 10.73 -83.02 -159.04
32.30 9.32 -83.52 -161.91
32.40 7.88 -83.95 -164.77
32.50 6.42 -84.30 -167.64
32.60 4.95 -84.59 -170.50
32.70 3.47 -84.80 -173.37
32.80 1.97 -84.94 -176.23
32.90 0.47 -85.00 -179.10
33.00 -1.03 -84.98 -181.96
33.10 -2.52 -84.89 -184.83
33.20 -4.01 -84.73 -187.69
33.30 -5.50 -84.49 -190.56
33.40 -6.96 -84.18 -193.42
33.50 -8.41 -83.80 -196.28
33.60 -9.84 -83.34 -199.15
33.70 -11.25 -82.81 -202.01
33.80 -12.62 -82.22 -204.88
33.90 -13.97 -81.55 -207.74
34.00 -15.28 -80.82 -210.61
34.10 -16.55 -80.02 -213.47
34.20 -17.78 -79.17 -216.34
34.30 -18.96 -78.25 -219.20
34.40 -20.10 -77.27 -222.07
34.50 -21.19 -76.24 -224.93
34.60 -22.22 -75.15 -227.80
34.70 -23.20 -74.02 -230.66
34.80 -24.12 -72.83 -233.53
34.90 -24.99 -71.61 -236.39
